K-2038;A0011533120;+Daviklis apsukø ACTROS;A0229979548;1;A0009922129;1;;;;;;;;;;;;;;
K-2039;02-01-10-0151;+Smagratis BF;A4220320271;10;A0109815625;1;;;;;;;;;;;;;;
K-2040;A0070964699REST;+*Turbokompresorius EURO3 RESTAURUOTAS;001TA10948000;1;A5411800209;1;;;;;;;;;;;;;;
K-2041;0432191242;+Purkðtukas Euro 5 BOSCH;A9060170860;1;A5419970645;1;;;;;;;;;;;;;;
K-2042;3182 600 141;+Sankabos iðminamas guolis hidraulinis Atego SACHS;A0002951173;1;A0002501354;1;;;;;;;;;;;;;;
K-2043;93087900;+Stabdþiø diskas TEXTAR;A9429902804;10;A9403501035;1;;;;;;;;;;;;;;
K-2044;28270;+*Kuro/vairo stipr. siurblys 18mm FEBI;A9329900071;1;A0059903470;1;;;;;;;;;;;;;;
K-2045;THCT19099.87;+Termostatas 87C VERNET;53X3.5;1;85X3.5;1;;;;;;;;;;;;;;
K-2046;A010096179980;+Turbokompresorius EURO5;A5411800209;1;001 TA 18023 000;1;;;;;;;;;;;;;;
K-2047;A0100961799REST;+*Turbokompresorius EURO5 RESTAURUOTAS;A5411800209;1;001 TA 18023 000;1;;;;;;;;;;;;;;
K-2048;A0149974647;+Riebokðlis alk. priekinis OM 402 105x130x12;A4420310027;1;A5410110180;1;;;;;;;;;;;;;;
K-2049;A0219978547;+Galinio reduktoriaus flanðo riebokðlis 85x155x12/33;A0079901401;4;N000000005461;4;;;;;;;;;;;;;;
K-2050;A0280745902;+Aukðto slëgio siurblys purkðtukui;A0239976448;1;A0239976548;1;;;;;;;;;;;;;;
K-2051;A028074590280;+Aukðto slëgio siurblys purkðtukui;A0239976448;1;A0239976548;1;;;;;;;;;;;;;;
K-2052;A0280746902;+Aukðto slëgio siurblys purkðt.;A0289975648;1;A0239976848;1;;;;;;;;;;;;;;
K-2053;A2105402081;+Jungtis 2 kontaktø;A0085456326;2;A0005456880;2;;;;;;;;;;;;;;
K-2054;A470200097080;+Átempëjas gen. dirþo MP4 AKCIJA;A4719935196;1;A4722021119;2;;;;;;;;;;;;;;
K-2055;A4601420080;+Iðmetimo kolektoriaus tarpinë;05119;6;08507;6;;;;;;;;;;;;;;
K-2056;A4719935196;+Dirþas 8PK2629 MP4 AKCIJA;A4722021119;2;A4702000970;1;;;;;;;;;;;;;;
K-2057;A4702000970;+Átempëjas gen. dirþo MP4 AKCIJA;A4719935196;1;A4722021119;2;;;;;;;;;;;;;;
K-2058;A4719935896;+Dirþas 8PK2629 MP4 AKCIJA;A4722021119;2;A4702000970;1;;;;;;;;;;;;;;
K-2059;35387;+*Kompresorius A/C su 3 tvirtinimo varþtais FEBI;A0139974445;1;A0139974145;1;;;;;;;;;;;;;;
K-2060;A4722020219;+Gen. dirþo atraminis guolis MP4;A4719935196;1;A4702000970;1;;;;;;;;;;;;;;
K-2061;A4722021119;+Gen. dirþo atraminis guolis;A4719935196;1;A4702000970;1;;;;;;;;;;;;;;
K-2062;A5410300105;+Smagratis;02403;10;A0109815625;1;;;;;;;;;;;;;;
K-2063;A0022507315;+Iðminamas guolis ATEGO þalias ;A0002951173;1;A0002501354;1;;;;;;;;;;;;;;
K-2064;A5411301057;+Kompresoriaus oro vamzdis;A5410110380;1;N910105008005;2;;;;;;;;;;;;;;
K-2065;A6110170060;+Tarpinë po purkðtuku ;A0019915870;1;A0009902907;1;;;;;;;;;;;;;;
K-2066;A6564109502;+Kardanas 2362mm;A0079901401;8;N000000005461;8;;;;;;;;;;;;;;
K-2067;A901420188528;+Lynas rankinio stabdþio Sprinter <-06m;A1084270074;2;A2014200589;2;;;;;;;;;;;;;;
K-2068;A9063206330;+Amortizatorius pr.;A9063230292;2;3191601;2;;;;;;;;;;;;;;
K-2069;A9424230112;+Stabdþiø diskas ACTROS AKCIJA;A9429902804;10;A9403501035;1;;;;;;;;;;;;;;
K-2070;A0024205820;+Trinkelës rank. stabdþio Sprinter <-06m;A123420007328;2;A1164230050;2;;;;;;;;;;;;;;
K-2071;A9463500145;+Reduktoriaus flanðas;A0119970745;1;A9463510072;1;;;;;;;;;;;;;;
K-2072;A9703500335;+Stebulë ;A3059970345;1;A9703560415;1;;;;;;;;;;;;;;
K-3001;GS8433;+Kaladëlës rank. stabdþio Sprinter <-06 TRW;A123420007328;2;A1164230050;2;A2014200589;2;;;;;;;;;;;;
K-3002;39987;+Oro pagalvë gal. pakabos Actros FEBI;N000000005915;1;16092;1;A0055425818;1;;;;;;;;;;;;
K-3003;A0024608880;+Kuro/vairo stipr. siurblys 18mm;A0159974845;1;A9329900071;1;A0059903470;1;;;;;;;;;;;;
K-3004;A0024608880REST;+*Kuro/vairo stipr. siurblys LUK RESTAURUOTAS;A0159974845;1;A9329900071;1;A0059903470;1;;;;;;;;;;;;
K-3005;0 986 487 610;+Kaladëlës rank. stabdþio Sprinter <-06 BOSCH;A123420007328;2;A1164230050;2;A2014200589;2;;;;;;;;;;;;
K-3006;14020;+Oro pagalvë TRAILERLINE;N000000005915;1;16092;1;A0055425818;1;;;;;;;;;;;;
K-3007;02-01-10-0276;+Smagratis SACHS;A0259975047;1;A0109815625;1;02403;10;;;;;;;;;;;;
K-3008;12-01-03-0139;+Generatorius BOSCH 100A;A0011554615;1;A0059904151;1;A0009905348;1;;;;;;;;;;;;
K-3009;12-01-03-0151;+Generatorius BOSCH 80A;A0011554615;1;A0059904151;1;A0009905348;1;;;;;;;;;;;;
K-3010;23193;+Trinkelës rank. stabdþio su spyruoklëmis Sprinter <-06 FEBI;A123420007328;2;A1164230050;2;A2014200589;2;;;;;;;;;;;;
K-3011;16-01-03-0102;+Filtras oro kondicionieriaus COLTEC;A0139974145;1;A0139974045;1;A0219970545;1;;;;;;;;;;;;
K-3012;16-01-03-0104;+Filtras oro kondicionieriaus su vieta davikliui COLTEC;A0139974145;1;A0139974045;1;A0219970545;1;;;;;;;;;;;;
